Price,Date,Lat,Lng,Housing,Floors,House,Rooms,Floor,Area
3500,240,56.365696,43.82025,0,9,Brick,3,4,60
4000,240,56.3230570451,44.0078615887,0,3,Brick,3,3,57
2150,240,56.267552,43.892107,0,5,Panel,2,1,38
3100,240,56.359963,43.813756,0,5,Panel,4,2,59
3585,240,56.325374,43.937463,0,9,Panel,2,7,52.5
2380,240,56.368027,43.818317,0,9,Brick,2,7,46
38500,240,56.317963,44.06323,0,25,Brick,5,22,313
1500,241,56.346896,43.802428,0,5,Panel,1,2,28
1669,240,56.283915,44.082083,1,7,Block,1,5,33
3800,240,56.366988,43.809653,1,14,Monolithic,2,2,73
6800,241,56.350018,43.852357,0,12,Brick,3,4,86
6800,240,56.306377,43.995808,0,17,Brick,2,12,78
1900,241,56.334837,43.842008,0,9,Brick,1,6,30.3
2300,241,56.313898,43.994802,0,2,Brick,2,2,37
850,241,56.326887,44.005977,0,2,Brick,3,2,60
3800,240,56.299341,44.060155,0,9,Panel,3,1,67
2000,240,56.233294,43.857073,0,5,Panel,1,1,30
3000,240,56.36145,43.818687,0,9,Brick,3,9,60
2000,240,56.288124,43.876995,0,2,Brick,2,1,38
2650,240,56.359932,43.819813,0,9,Brick,2,5,44
2600,240,56.360947,43.822136,0,9,Brick,2,6,58
3050,240,56.350307,43.85119,0,2,Brick,4,2,63
2200,240,56.326885,44.005985,0,10,Brick,1,1,34
2750,240,56.304076,44.044039,0,5,Panel,2,2,49
2600,240,56.36476517,43.8276062,0,5,Brick,3,5,60
2720,240,56.317053,44.033457,0,9,Brick,1,7,35.8
2000,240,56.378818,43.787759,0,3,Brick,2,2,40
2390,240,56.324616,43.917637,0,5,Brick,2,5,46
3380,240,56.341328,43.953174,0,17,Block,1,6,45
2750,240,56.259183,43.980474,0,11,Brick,1,10,40
1750,240,56.366988,43.809653,1,14,Block,1,7,35
2350,240,56.26063,43.89154,0,9,Brick,2,6,38.1
1980,240,56.28243,43.93247,0,5,Brick,2,4,40.8
1770,239,56.323293,43.868697,0,2,Block,2,2,40
7800,239,56.275469,44.001971,0,3,Brick,4,1,170
1650,239,56.280247,43.951629,0,9,Brick,1,4,32
9000,239,56.263742,44.090841,0,6,Brick,3,5,80
1900,239,56.2840803491,43.9051614667,0,5,Brick,2,1,46
2100,239,56.35314,43.866398,0,5,Brick,1,4,31
2100,239,56.247146,43.825084,0,5,Brick,2,2,38.5
3500,239,56.304086,44.076154,0,8,Brick,1,3,40
850,239,56.290624,43.991398,0,5,Brick,1,3,17
2600,239,56.291698,44.042889,0,5,Brick,2,1,42
2530,239,56.280292,43.91788,0,5,Panel,2,4,45
2460,239,56.255362,43.970099,0,5,Brick,2,4,41
2400,239,56.324463,44.001888,0,5,Brick,2,5,45
4600,239,56.217915,43.83773,0,12,Brick,4,1,86
4200,239,56.30187,44.07364,0,9,Brick,1,5,43
2550,239,56.346452,43.80162,0,5,Brick,3,4,60
1850,239,56.231198,43.822092,0,9,Panel,1,7,35
2610,240,56.332975,43.941308,0,12,Brick,2,3,42
4100,239,56.3229352664,44.0087018086,0,9,Panel,3,6,66
2600,239,56.229561,43.878803,0,9,Panel,2,8,58
4500,241,56.289017,44.055122,0,2,Brick,2,2,95
2350,241,56.238342,43.82876,0,10,Brick,1,9,31
2800,241,56.232648253,43.968995643,1,10,Brick,1,1,39.3
2850,241,56.23421,43.947335,0,9,Panel,2,9,45
1200,241,56.230556,43.836052,0,2,Brick,1,1,26
4169.9,241,56.267162,44.023533,0,17,Brick,2,12,64
1200,241,56.280092,43.935451,0,5,Brick,1,3,19
2500,241,56.277618,43.987481,0,5,Brick,1,5,38
3100,240,56.293027,44.038056,0,5,Brick,2,4,43
4800,240,56.255352,43.970099,0,9,Brick,3,7,65
1610,240,56.303347,43.882998,0,5,Brick,2,5,42
2800,240,56.2382,43.955116,0,25,Brick,1,13,27
3500,240,56.28981,43.85699,0,9,Brick,2,9,52
4430,240,56.314432,44.046438,0,9,Brick,4,9,74
1800,240,56.29862,44.001026,0,2,Brick,2,1,47
3460,240,56.33058,43.881794,0,5,Brick,3,5,57
1500,240,56.383198,43.78944,0,2,Brick,2,1,31.7
2000,240,56.26039124,43.84637451,0,9,Brick,1,5,32.7
1700,240,56.269086,43.870125,0,9,Brick,1,5,30
1800,239,56.298662,43.937238,0,5,Brick,1,4,30
1500,239,56.228313,43.857082,0,2,Brick,2,1,38
2200,239,56.237272,43.841262,0,10,Panel,1,6,30
3550,240,56.231747,43.94569,0,12,Brick,2,3,56
4100,240,56.324236,43.93033,1,19,Monolithic,3,8,61.9
2250,240,56.320273,43.927438,0,5,Brick,2,3,44.5
2280,240,56.293606,43.984276,0,5,Brick,1,4,31
3000,241,56.3126,43.97662,0,3,Brick,3,1,46
2850,241,56.30214691,44.04074097,0,5,Brick,3,4,60
5100,241,56.34673691,43.93780518,0,16,Brick,4,10,73
3500,241,56.22784,43.945853,0,9,Panel,3,9,64
4000,241,56.264107,43.977195,0,9,Brick,3,2,62
2700,235,56.258373,43.866882,0,5,Brick,3,5,63
4650,235,56.237222,43.966829,0,10,Brick,3,1,74
1350,235,56.30793,43.84532,0,2,Brick,1,1,33
2300,235,56.321701,44.021797,0,5,Brick,1,5,31
2100,235,56.284969,44.043949,0,5,Panel,1,4,32
2150,235,56.313698,43.933438,0,5,Brick,2,4,45
2000,235,56.246141,43.862049,0,5,Brick,1,1,35
2650,235,56.3123642205,44.0738138307,0,9,Brick,1,5,33
1760,235,56.191188,43.8588724577,0,3,Monolithic,1,2,32
4300,235,56.288124,43.876995,0,5,Brick,3,1,55.7
1752,235,56.340829,43.910064,1,10,Panel,1,9,29.7
1970,235,56.2979531267,44.0432474837,0,5,Panel,1,2,33
1600,235,56.232368,43.870601,0,5,Panel,1,1,32
2500,235,56.293737,44.051244,0,5,Brick,2,1,44
2550,235,56.338015,43.914718,0,10,Panel,1,9,36
1490,235,56.340585,43.829809,0,9,Brick,1,2,29
2300,235,56.239697,43.96258,0,5,Brick,1,4,31
2280,236,56.291714,44.005833,0,5,Brick,1,4,31.1
2300,236,56.302557,44.036421,0,9,Panel,1,8,33
2450,236,56.364979,43.82883,0,3,Brick,2,3,46
6000,236,56.31607,44.000228,0,9,Brick,3,9,66
2500,236,56.290584,43.931175,0,5,Brick,1,5,30
2400,236,56.257248,43.882847,0,5,Brick,3,1,61.5
2450,237,56.223296,43.95198,0,10,Panel,1,7,31
3700,237,56.304905,43.935062,0,10,Brick,1,6,37
5000,237,56.307716,44.028974,0,9,Brick,2,5,60
2480,237,56.318331,44.044021,0,9,Brick,1,8,34
2680,237,56.231098,43.82768,0,9,Brick,3,3,57
2200,237,56.231688,43.874662,0,9,Brick,2,2,44
2800,237,56.325439,43.87662,0,9,Brick,3,2,58
2300,237,56.2918670779,43.9971384588,0,2,Block,2,2,46
5290,237,56.285563,44.080798,0,10,Brick,2,8,59
2650,237,56.289705,44.075435,0,6,Brick,1,2,42
5100,237,56.311042,44.071689,0,17,Brick,2,9,58
2650,237,56.324635,43.929424,0,10,Brick,1,1,37
1850,237,56.271501,43.881201,0,9,Brick,1,1,28
3300,238,56.333214,43.844997,0,10,Brick,1,8,38
1130,238,56.310413,44.037517,0,11,Monolithic,1,10,40
6300,238,56.341687,43.947587,0,17,Monolithic,3,13,82
2200,238,56.290904,43.842942,1,10,Monolithic,1,6,29
2450,237,56.234535,43.833618,0,5,Brick,2,5,46
2250,237,56.223355772,43.951915627,0,10,Monolithic,1,5,30.8
3600,237,56.324287,43.993725,0,5,Brick,2,5,44
2600,237,56.290959,43.91841,0,5,Brick,3,4,43.7
4700,238,56.313898,43.994802,0,9,Brick,2,8,52
3500,238,56.340904,43.84731,0,17,Brick,1,3,43.2
1900,238,56.3565887642,43.8337290741,0,5,Panel,1,2,32
3200,239,56.228896,43.862211,0,9,Panel,3,5,59
2075,239,56.267527,43.929055,0,9,Panel,1,1,37
2480,239,56.329282,43.918059,0,5,Brick,1,3,43
2100,239,56.314262,43.900327,0,5,Brick,2,4,42.5
2650,232,56.338933,43.880914,0,9,Brick,2,1,45.5
3950,232,56.295395,44.05949,0,9,Panel,3,6,74
2000,232,56.320473,44.038757,0,5,Brick,1,2,31
5950,233,56.327735,43.928085,0,10,Monolithic,3,5,71
3110,233,56.3382717808,43.9166992315,1,10,Monolithic,3,4,52
5453.5,232,56.3015,43.9745,1,25,Monolithic,3,17,84
6300,232,56.313653,44.06965,0,17,Monolithic,3,5,85
1550,232,56.248106,43.75082,0,5,Panel,1,5,31
1850,232,56.24467,43.835819,0,3,Brick,2,2,49
2450,233,56.231818,43.958609,0,5,Panel,2,5,45
3000,233,56.30972,43.98113,0,6,Brick,2,1,45
3290,232,56.248795,43.829468,0,4,Brick,2,4,53.5
2500,232,56.330666,43.915947,0,9,Brick,1,5,37
2900,232,56.36476517,43.8276062,0,9,Brick,3,9,58
2150,232,56.24141312,43.96983719,0,5,Brick,1,3,32
3300,232,56.342373,43.950615,0,17,Brick,1,14,44
3400,232,56.32595444,43.95940781,0,5,Brick,3,3,58
2600,232,56.265522,43.896131,0,5,Panel,2,2,48
6550,232,56.293422,44.047623,0,5,Brick,4,5,97
3300,232,56.30597,43.992817,0,9,Brick,3,1,61
2200,232,56.266037,43.980142,0,2,Brick,2,2,48
1330,232,56.297974,44.076252,0,19,Brick,1,2,19
3990,232,56.343453,43.841343,0,9,Brick,4,6,70
5100,232,56.345325,43.94085,0,16,Brick,4,10,73
1700,232,56.24392,43.841846,0,5,Brick,1,2,31
3800,232,56.367622,43.80416,0,9,Brick,3,5,72.5
4700,232,56.22917,43.81982,0,10,Brick,3,1,75
1500,232,56.296253,43.87169,0,5,Brick,1,3,31
1800,232,56.362372,43.806947,0,9,Panel,1,5,32
4500,232,56.318256,44.0252,0,9,Brick,3,3,62
10800,232,56.306518,43.994883,0,9,Brick,3,9,130
3200,232,56.338025,43.873674,0,9,Panel,3,6,60.4
3200,232,56.349245,43.849455,0,9,Panel,2,6,52
5590,231,56.258563,43.980187,0,17,Brick,3,9,91.8
4850,231,56.283884,44.070548,0,17,Monolithic,2,12,66
2050,232,56.321097,43.945799,0,5,Brick,1,1,31
2100,232,56.305244,43.924707,0,2,Wooden,2,1,44
2780,233,56.246956,43.863927,0,5,Brick,2,2,50.5
1740,233,56.3819393443,43.7893610741,0,2,Brick,2,1,31.5
4980.22,233,56.26138,44.016705,0,17,Brick,2,17,75.7
2349.999,233,56.224987,43.874348,0,12,Brick,1,6,40.3
3700,233,56.326157,43.93714,0,9,Brick,3,6,70
2040,233,56.25559,43.881397,0,9,Brick,1,1,34
3100,233,56.225628,43.837822,0,9,Panel,3,2,66
2300,233,56.315105,43.88318,0,5,Brick,3,3,42
4300,233,56.344721,43.933807,1,9,Brick,3,8,64.3
2650,233,56.275169,43.980591,0,5,Brick,2,3,44
2029,243,56.3407625493,43.9166735952,1,10,Panel,1,4,33.5
2625,243,56.3407625493,43.9166735952,1,10,Panel,1,6,45
2000,243,56.218807,43.866511,1,17,Panel,1,16,33
2659,243,56.218807,43.866511,1,17,Panel,1,8,41
2080,243,56.218807,43.866511,1,17,Panel,1,4,35
3280,243,56.3407625493,43.9166735952,1,10,Panel,3,5,57.6
1150,243,56.233379,43.828398,0,9,Brick,1,9,20
7500,243,56.303844,44.073936,0,6,Brick,3,6,91
2350,242,56.264552,43.914538,0,5,Brick,1,4,39
2700,242,56.230087,43.946698,0,9,Panel,2,5,47
4390,242,56.304955,43.995026,0,10,Brick,1,7,45
6600,241,56.317962,44.063227,0,22,Monolithic,3,4,80
1289,242,56.247146,43.825084,0,5,Brick,0,1,19.7
1900,244,56.330405,43.959292,0,5,Brick,1,1,33
3395,244,56.2750554795,43.9377011455,0,9,Panel,3,3,61
3850,244,56.310972,43.987248,0,5,Brick,3,2,57
2150,244,56.340854,43.909957,0,10,Brick,1,7,30
3600,244,56.285184,44.040877,0,18,Brick,1,6,55
2900,244,56.291369,43.997434,0,4,Brick,2,4,35.9
3500,244,56.258472,43.857243,0,19,Brick,1,3,46
4360,244,56.267162,44.023533,0,17,Brick,2,6,69.1
2750,242,56.318333,43.866398,0,5,Brick,3,1,54
3300,242,56.326054,43.912685,0,9,Brick,2,7,45
5400,242,56.301678,44.02541,0,5,Brick,2,5,62
2300,242,56.289885,43.933618,0,9,Brick,1,6,35
2600,242,56.336369,43.846841,0,5,Brick,1,5,31.7
4100,242,56.218086,43.860441,0,10,Brick,2,2,67
3500,242,56.251902,43.864115,0,4,Brick,3,2,70
1550,242,56.280726,43.939071,0,2,Brick,2,1,39
1360,242,56.190572,43.8629784577,0,3,Monolithic,0,1,23
2200,243,56.367383,43.810729,0,14,Monolithic,1,12,38
2650,244,56.262547,43.90848,0,14,Brick,1,8,43
1350,242,56.30059,44.009724,0,2,Brick,2,2,38
14000,242,56.313503,44.03767,0,4,Brick,5,3,350
4100,241,56.288124,43.876995,0,9,Brick,1,8,54
2800,242,56.299646,44.047668,0,5,Panel,2,5,45
2470,242,56.255352,43.9701,0,9,Brick,1,6,34
7500,242,56.315002,44.0224,0,9,Brick,2,7,70
1850,242,56.322544,43.884758,0,6,Brick,1,2,30
5650,242,56.285953,44.052861,0,10,Monolithic,3,4,81
31000,242,56.324757,43.999413,0,5,Brick,4,3,181
2800,242,56.267552,43.892107,0,5,Panel,4,2,62
5270,242,56.313234,43.978785,0,11,Monolithic,2,11,73
1990,243,56.250917,43.850479,0,9,Panel,1,1,33
1800,243,56.195443742,43.849480627,0,3,Monolithic,1,2,34
2790,244,56.3376883987,43.9132653849,1,10,Panel,2,6,47.3
2180,243,56.327736,43.91478,0,5,Brick,2,5,40
850,243,56.26533,43.874527,0,10,Brick,5,8,118
2070,244,56.288124,43.876995,0,10,Brick,1,6,30
6400,244,56.286434,43.98591,0,18,Brick,2,17,80
11300,241,56.30533,44.078487,0,12,Brick,4,6,120
1900,241,56.33138,43.833664,0,10,Brick,1,5,20.5
3100,241,56.2609919336,43.8782624395,0,9,Panel,3,9,61
3300,241,56.341902,43.951027,0,17,Monolithic,1,15,41
2610,241,56.368524,43.808222,0,10,Brick,2,7,54
3100,241,56.262547,43.908483,0,5,Panel,3,2,60
1600,242,56.2904135337,43.8612464921,0,3,Brick,2,1,46
2200,243,56.267464,43.87999,0,9,Brick,1,7,33.2
2100,242,56.290905,43.84294,0,10,Brick,1,3,28
2000,243,56.299286,43.937256,0,5,Brick,3,5,70
2750,243,56.290849,43.939457,0,5,Panel,3,1,60
1800,243,56.2199718405,43.8675105669,0,17,Block,0,5,22.6
3000,243,56.3237381,43.87199402,0,9,Brick,2,9,51.1
2700,305,56.26774,43.981148,0,2,Brick,3,2,54
6950,305,56.227356,43.94756,0,19,Brick,3,6,97
3150,306,56.257038,43.982414,0,18,Brick,1,15,45
3320,306,56.315366,43.902779,0,5,Brick,3,2,79
1750,305,56.291544,44.017278,0,5,Brick,1,1,30
2550,306,56.312285,44.018904,0,5,Brick,2,4,42
